ID,Filename,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
416,parsed.416.txt,1,6352,31.14,29.23,77.11,47.51,5.21,1.21,0.76,0.05,0.03,0.02,0.36,4,9.97,9.84,6.58,1.26,4.25,2.02,2.46,15.65,5.13,0.96,3.89,0.87,0,2.63,0,0.05,0.17,4.82,2.74,2.05,0.47,0.46,0.5,14.96,1.73,2.35,2.63,2.77,1.2,0.99,3.1,1.84,0.38,0.17,0.06,0.11,0.36,0.11,0.17,0,0.08,11.49,2.06,5.84,3.43,4.99,2.64,0.11,0.08,5.67,0.16,0,0.03,0.13,0.06,3.94,6.01,0.17,0.11,0.09,0.02,2.35,0.46,0.82,0.49,0.03,14.97
417,parsed.417.txt,1,2922,29.22,30.56,81.66,49.83,6.84,2.84,1.06,0.92,0.03,0,0.82,4,7.22,9.38,6.54,1.27,5.51,1.13,3.59,17.49,6.54,0.62,3.8,0.34,0,4.48,0,0.07,0.44,3.94,2.09,1.85,0.72,0.31,0.14,19.61,4.11,3.66,2.02,3.42,0.89,1.06,4.55,2.02,0.79,0.48,0.1,0.17,0.34,0.03,0.1,0,0.24,13.28,2.84,6.84,3.39,5.34,2.67,0.21,0.31,3.49,0.07,0,0,0.07,0.17,3.18,4.11,0.07,0.21,0.58,0,1.92,0.48,0.41,0.03,0.68,11.7
418,parsed.418.txt,1,4818,31.7,28.66,75.26,48.22,9.15,3.67,0.58,1.52,0.37,0,1.2,5.48,7.26,8.7,6.43,0.83,3.96,2.16,2.22,15.77,4.55,0.73,3.57,0.48,0,5.4,0.1,0.02,0.06,3.24,1.83,1.35,0.85,0.04,0.12,17.93,2.91,2.28,1.74,2.26,1.37,1.47,4.71,1.37,0.35,0.15,0.06,0.12,0.02,0,0,0,0.02,11,1.41,7.16,2.32,4.21,3.49,0.6,0.5,3.49,0.02,0,0,0.04,0,6.41,4.69,0.08,0.1,0.02,0,2.43,0.04,0.21,0.44,0.06,14.92
419,parsed.419.txt,1,2965,29.36,38.68,79.12,45.8,5.53,2.02,0.37,0.07,0.4,0,1.18,3.51,7.96,7.45,5.16,1.38,4.22,0.51,2.09,16.66,6.34,0.54,3.58,0.64,0,8.2,0,0.54,0.24,5.06,4.05,1.01,0.03,0.1,0.44,15.62,3.34,2.66,0.57,1.92,0.67,0.64,4.55,0.98,0.37,0.1,0,0.13,0.13,0.07,0.03,0,0.03,9.54,1.38,6.17,1.75,8.16,5.77,0.4,1.42,4.59,0.17,0,0.3,0.4,0,3.44,5.19,0.03,0.03,0.13,0,1.38,0.2,0.2,0.24,0.07,11.16
420,parsed.420.txt,1,3170,23.14,37,83.5,47.6,7.1,3.03,0.38,0.6,0.95,0,1.1,4.07,9.02,9.75,7.57,1.32,5.36,1.74,1.55,14.29,6.31,0.91,2.43,0.32,0,5.65,0,0,0.06,4.7,2.46,2.24,1.55,0.03,0.28,21.36,3.25,6.25,2.02,1.45,1.86,2.65,4.98,1.74,0.73,0.35,0.28,0.06,0.35,0.06,0.22,0,0.06,11.39,1.36,6.21,3.53,11.04,6.56,0.35,0.03,2.81,0.06,0,0,0.06,0.03,4.23,4.73,0.06,0,0.32,0,0.88,0.25,0.28,0.06,0,10.88
421,parsed.421.txt,1,3115,27.81,33.77,76.24,42.92,3.66,0.77,0.42,0.16,0,0,0.19,2.89,8.92,8.67,5.78,1.35,4.53,1.03,2.44,15.89,4.62,0.61,3.15,0.93,0,1.64,0.03,0.03,0.16,6.45,3.66,2.79,0.87,0.35,0.83,14.13,1.86,2.25,1.89,2.34,1.32,1.32,3.21,1.28,0.64,0.1,0.1,0.19,0.26,0.06,0.16,0,0.03,15.44,2.22,7.64,5.3,5.62,2.28,0.42,0.39,6.23,0.06,0.06,0,0.1,0,4.08,5.59,0.06,0.03,0,0,2.12,0.26,0.42,0.03,0.06,12.68
422,parsed.422.txt,1,1987,26.49,43.33,76.65,39.15,4.73,0.91,0.2,0.15,0.25,0,0.3,3.82,7.55,5.74,2.72,0.4,2.97,0.3,1.46,15.7,5.99,0.15,3.27,0.5,0,6.49,0.5,0.5,0.4,4.78,4.33,0.45,0.15,0.15,0.15,12.83,1.61,2.26,0.3,1.21,0.7,0.45,5.54,0.5,0.2,0.1,0.05,0,0.15,0.1,0,0,0.05,11.98,2.21,7.05,2.62,12.08,6.84,1.36,1.41,6.04,0.15,0,0,0.2,0,5.08,5.13,0.25,0,0,0,1.71,0.1,0.65,0.45,0.55,14.39
423,parsed.423.txt,1,2839,23.86,32.72,82.99,45.86,5.92,2.4,0.49,0.42,0.53,0.14,0.81,3.52,8.74,9.62,7.15,2.01,5.42,1.2,1.69,14.83,5.99,0.74,2.78,0.39,0,4.51,0,0.14,0.32,5.42,2.08,3.31,1.66,0.11,1.09,16.87,2.57,4.4,1.66,1.44,1.06,2.18,4.26,1.87,0.42,0.28,0.07,0,0.35,0,0.28,0,0.07,12.19,1.8,6.66,3.35,8.95,6.16,0.7,0.11,8.24,0.07,0,0,0,0,4.23,3.66,0.11,0,0,0,1.41,0.28,0.49,0.21,0.07,10.67
424,parsed.424.txt,1,4226,30.4,29.37,78.04,48.39,8.07,3.5,0.62,1.51,0.21,0,1.16,4.57,7.69,9.02,6.77,0.92,4.33,2.22,2.86,15.03,5.51,1.14,3.15,0.43,0,5.25,0.07,0,0.07,5.89,2.74,3.01,2.06,0.12,0.33,19,2.46,2.34,2.39,2.27,1.33,2.06,5.32,1.8,0.66,0.19,0.28,0.17,0.12,0.02,0.05,0,0.05,11.78,1.7,7.03,2.58,5.32,3.62,0.5,0.28,4.28,0.02,0,0,0.12,0,5.13,4.35,0.21,0.35,0.05,0,2.44,0.05,0.19,0.24,0.19,13.44
425,parsed.425.txt,1,139,17.38,33.09,64.03,30.94,3.6,0,0,0,0,0,0,3.6,6.47,4.32,2.16,1.44,2.16,0,3.6,10.79,5.04,1.44,2.16,0,0,3.6,0,0,0.72,2.88,2.88,0,0,0,0,18.71,7.19,5.04,0,1.44,0.72,0,2.88,2.16,0.72,0.72,0,0,0,0,0,0,0,2.88,0,1.44,1.44,8.63,2.16,0,0,4.32,0,0,0,0,0,5.04,5.04,0.72,0,0.72,0,0.72,1.44,0,1.44,0,16.55
426,parsed.426.txt,1,1976,26.7,32.54,80.11,45.29,6.07,2.33,0.46,1.01,0.15,0,0.71,3.74,6.58,9.21,5.57,1.87,3.69,0.96,2.43,15.54,6.22,0.56,4.61,1.57,0,3.24,0.05,0.05,0.1,6.63,4.91,1.72,0.25,0.2,0.91,14.68,1.67,2.33,0.96,2.23,0.66,1.37,5.06,1.27,0.61,0.35,0.1,0,0.3,0.05,0.2,0,0.05,15.59,2.23,7.84,5.41,4.91,3.85,0.3,1.21,8.4,0.1,0,0.46,0.05,0.05,4.5,3.85,0.05,0.1,0,0,4.2,0,0.51,0.25,0.1,13.82
427,parsed.427.txt,1,6101,30.05,30.4,73.41,45.42,4.87,1.44,0.64,0.38,0.07,0.02,0.34,3.43,9.24,10.67,6.33,1.23,4.25,1.57,2.95,14.59,5.13,0.75,4.16,0.95,0,2.33,0,0.02,0.08,4.62,2.44,2.15,0.59,0.16,0.72,14.77,1.9,2.34,1.87,2.75,1.48,0.72,3.72,1.48,0.7,0.21,0.16,0.25,0.49,0,0.2,0,0.3,13.75,1.61,7.13,4.9,4.38,2.39,0.25,0.1,2.8,0.03,0.02,0.02,0.16,0.03,4.84,6.95,0.16,0.28,0.23,0.02,2.13,0.95,0.44,1.03,0.08,18.14
428,parsed.428.txt,1,4212,27.35,34.73,82.93,46.3,6.81,2.73,0.62,0.47,0.28,0.09,1.26,4.08,8.69,9.45,7.03,1.35,5.25,1.54,1.99,14.86,6.05,0.57,2.23,0.43,0,5.39,0,0.12,0.24,5.03,2.3,2.71,1.78,0.09,0.71,18,2.97,4.89,1.76,1.33,1.61,2.64,4.27,1.54,0.5,0.19,0.28,0,0.19,0.02,0.09,0,0.07,11.51,1.45,6.6,3.16,9.54,6.24,0.62,0.02,5.48,0.07,0,0,0.07,0,4.04,4.11,0.12,0.07,0.09,0,1.26,0.47,0.4,0.09,0.12,10.87
429,parsed.429.txt,1,2941,30.32,35.84,82.32,47.77,7.58,3.37,0.54,0.75,0.58,0,1.5,4.22,8.02,9.76,7.11,1.7,5.07,1.46,2.31,14.52,6.87,0.99,2.41,0.44,0,6.7,0,0,0.14,5.07,2.14,2.92,1.7,0.07,0.31,19.76,3.26,4.05,2.28,2.11,1.73,2.52,5.03,2.14,0.51,0.17,0.24,0.03,0.34,0.03,0.17,0,0.14,11.05,1.5,6.6,2.92,10.03,5.27,0.37,0.34,2.52,0.03,0,0,0.07,0,3.57,5.41,0.17,0.1,0.24,0,1.53,0.31,0.71,0.1,0.07,12.31
430,parsed.430.txt,1,1569,24.14,31.23,79.41,46.97,7.07,2.29,0.25,0.76,0.32,0.38,0.57,4.78,8.48,8.86,5.42,2.29,4.72,0.64,2.74,14.85,5.67,0.19,2.74,1.21,0,7.2,0.25,1.34,0.38,4.97,3.82,1.02,0,0.19,0.19,14.53,1.59,2.23,1.27,0.89,1.66,0.7,6.5,0.45,0.57,0.45,0.13,0,0.25,0.06,0.13,0,0.06,14.09,1.21,7.14,5.67,5.99,4.33,0.89,4.02,4.02,0.13,0,0,0.13,0.06,4.4,6.44,0,0.06,0,0,1.4,0.13,0.76,0.45,0.13,14.21
