"Quarter","pres_party","house_dem_rep","senate_dem_rep"
1965.4,0,2.10714292526245,2.125
1966.1,0,2.10714292526245,2.125
1966.2,0,2.10714292526245,2.125
1966.3,0,2.10714292526245,2.125
1966.4,0,2.10714292526245,2.125
1967.1,0,1.32620298862457,1.77777802944183
1967.2,0,1.32620298862457,1.77777802944183
1967.3,0,1.32620298862457,1.77777802944183
1967.4,0,1.32620298862457,1.77777802944183
1968.1,0,1.32620298862457,1.77777802944183
1968.2,0,1.32620298862457,1.77777802944183
1968.3,0,1.32620298862457,1.77777802944183
1968.4,0,1.32620298862457,1.77777802944183
1969.1,1,1.265625,1.38095200061798
1969.2,1,1.265625,1.38095200061798
1969.3,1,1.265625,1.38095200061798
1969.4,1,1.265625,1.38095200061798
1970.1,1,1.265625,1.38095200061798
1970.2,1,1.265625,1.38095200061798
1970.3,1,1.265625,1.38095200061798
1970.4,1,1.265625,1.38095200061798
1971.1,1,1.41666698455811,1.22727298736572
1971.2,1,1.41666698455811,1.22727298736572
1971.3,1,1.41666698455811,1.22727298736572
1971.4,1,1.41666698455811,1.22727298736572
1972.1,1,1.41666698455811,1.22727298736572
1972.2,1,1.41666698455811,1.22727298736572
1972.3,1,1.41666698455811,1.22727298736572
1972.4,1,1.41666698455811,1.22727298736572
1973.1,1,1.26041698455811,1.33333301544189
1973.2,1,1.26041698455811,1.33333301544189
1973.3,1,1.26041698455811,1.33333301544189
1973.4,1,1.26041698455811,1.33333301544189
1974.1,1,1.26041698455811,1.33333301544189
1974.2,1,1.26041698455811,1.33333301544189
1974.3,1,1.26041698455811,1.33333301544189
1974.4,1,1.26041698455811,1.33333301544189
1975.1,1,2.02083301544189,1.64864897727966
1975.2,1,2.02083301544189,1.64864897727966
1975.3,1,2.02083301544189,1.64864897727966
1975.4,1,2.02083301544189,1.64864897727966
1976.1,1,2.02083301544189,1.64864897727966
1976.2,1,2.02083301544189,1.64864897727966
1976.3,1,2.02083301544189,1.64864897727966
1976.4,1,2.02083301544189,1.64864897727966
1977.1,0,2.04195809364319,1.60526299476624
1977.2,0,2.04195809364319,1.60526299476624
1977.3,0,2.04195809364319,1.60526299476624
1977.4,0,2.04195809364319,1.60526299476624
