full_date,speech_name,raw_spoke_to,vars.link,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
19-Dec-96,Supervision of bank risk-taking,"At the The Brookings Institution National Issues Forum, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1996/19961219.htm,The Brookings Institution National Issues Forum,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
05-Jan-97,The role of structural macroeconomic models,"At the AEA Panel on Monetary and Fiscal Policy, New Orleans, Louisiana",http://www.federalreserve.gov/boarddocs/speeches/1997/19970105.htm,AEA Panel on Monetary and Fiscal Policy,, New Orleans, Louisiana,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
14-Jan-97,Central banking and global finance,"At the Catholic University Leuven, Leuven, Belgium",http://www.federalreserve.gov/boarddocs/speeches/1997/19970114.htm,Catholic University Leuven,, Leuven, Belgium,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
16-Jan-97,The economic outlook and challenges for monetary policy,"At the Charlotte Economics Club, Charlotte, North Carolina",http://www.federalreserve.gov/boarddocs/speeches/1997/19970116.htm,Charlotte Economics Club,, Charlotte, North Carolina,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
24-Jan-97,Financial modernization: Rationalizing the structure of the financial services industry,"At the 99th Assembly for Bank Directors, Southwestern Graduate School of Banking, Westin Regina Resort, Puerto Vallarta, Mexico",http://www.federalreserve.gov/boarddocs/speeches/1997/19970124.htm,99th Assembly for Bank Directors,, Southwestern Graduate School of Banking, Westin Regina Resort,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
28-Jan-97,International competition: Should we harmonize our national regulatory systems?,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,Sponsored by the International Monetary Fund, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970128.htm,Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,,Sponsored,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29-Jan-97,Are banks still special?,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets, Sponsored by the International Monetary Fund, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970129.htm,Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,, Sponsored,,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14-Feb-97,Risk management for banks and banking regulators in the 21st century,"At the Atlanta Society of Financial Analysis, Atlanta, Georgia",http://www.federalreserve.gov/boarddocs/speeches/1997/19970214.htm,Atlanta Society of Financial Analysis,, Atlanta, Georgia,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21-Feb-97,Government regulation and derivative contracts,"At the Financial Markets Conference of the Federal Reserve Bank of Atlanta, Coral Gables, Florida",http://www.federalreserve.gov/boarddocs/speeches/1997/19970221.htm,Financial Markets Conference of the Federal Reserve Bank of Atlanta,, Coral Gables, Florida,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03-Mar-97,Recent developments in supervision and regulation and how they affect the debate on financial modernization,At the Annual Washington Conference of the Institute of International Bankers,http://www.federalreserve.gov/boarddocs/speeches/1997/19970303.htm,Annual Washington Conference of the Institute of International Bankers,,,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07-Mar-97,Privacy in the information age,"At the Conference on Privacy in the Information Age, Salt Lake City, Utah",http://www.federalreserve.gov/boarddocs/speeches/1997/19970307.htm,Conference on Privacy in the Information Age,, Salt Lake City, Utah,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
13-Mar-97,Sustaining CRA's success,"At the Annual Meeting of the National Community Reinvestment Coalition, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970313.htm,Annual Meeting of the National Community Reinvestment Coalition,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
22-Mar-97,Financial reform and the importance of a decentralized banking structure,"At the Annual Convention of the Independent Bankers Association of America, Phoenix, Arizona",http://www.federalreserve.gov/boarddocs/speeches/1997/19970322.htm,Annual Convention of the Independent Bankers Association of America,, Phoenix, Arizona,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04-Apr-97,The challenges of macroeconomic policy,"At the Annual Meeting of the Eastern Economic Association, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970404.htm,Annual Meeting of the Eastern Economic Association,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
10-Apr-97,Issues in financial modernization,"At the Seventh Annual Conference on Financial Structure, Annandale-on-Hudson, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970410.htm,Seventh Annual Conference on Financial Structure,, Annandale-on-Hudson, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12-Apr-97,The evolution of banking in a market economy,"At the Annual Conference of the Association of Private Enterprise Education, Arlington, Virginia",http://www.federalreserve.gov/boarddocs/speeches/1997/19970412.htm,Annual Conference of the Association of Private Enterprise Education,, Arlington, Virginia,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
24-Apr-97,The economic outlook and challenges facing monetary policy,"At the Forecasters Club of New York, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970424.htm,Forecasters Club of New York,, New York, New York,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
29-Apr-97,G-7 economic summit meeting,"At the Spring Meeting of the Institute of International Finance, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970429.htm,Spring Meeting of the Institute of International Finance,, Washington, D.C.,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
