FROM SPEECH BASE DATA,DateField,tocheck notes,ORIG,speech_name,vars.link,is_Fed,multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,HFSC_donate_chair,HFSC_rankmem,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat
11,10/1/1996,,Accounting and auditing standards and bank supervision,Accounting and auditing standards and bank supervision,http://www.federalreserve.gov/boarddocs/speeches/1996/19961024.htm,,,,,University of Tennessee,,24-Oct-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Susan M. Phillips,none,,,,,Accounting and auditing standards and bank supervision,http://www.federalreserve.gov/boarddocs/speeches/1996/19961024.htm,"At the 23rd Annual Accounting Lecture Series of the University of Tennessee, Chattanooga, Tennessee",23rd Annual Accounting Lecture Series of the University of Tennessee, University of Tennessee,, Chattanooga, Tennessee,Susan M. Phillips,1
12,10/1/1996,,The future of electronic payments,The future of electronic payments,http://www.federalreserve.gov/boarddocs/speeches/1996/19961031.htm,,,,,BAI ,,31-Oct-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Edward W. Kelley,Not Found in Fed Boardex,,,,,The future of electronic payments,http://www.federalreserve.gov/boarddocs/speeches/1996/19961031.htm,"At the BAI Money Transfer '96 Conference, New York, New York",BAI Money Transfer '96 Conference,BAI ,, New York, New York,Edward W. Kelley,1
13,11/1/1996,,Banking in the global marketplace,Banking in the global marketplace,http://www.federalreserve.gov/boarddocs/speeches/1996/19961118.htm,,,,,Federation of Bankers Associations of Japan,,18-Nov-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,,Banking in the global marketplace,http://www.federalreserve.gov/boarddocs/speeches/1996/19961118.htm,"At the Federation of Bankers Associations of Japan, Tokyo, Japan",Federation of Bankers Associations of Japan,Federation of Bankers Associations of Japan,, Tokyo, Japan,Alan Greenspan,3
14,11/1/1996,,The transformation of the U.S. banking industry and resulting challenges to regulators,The transformation of the U.S. banking industry and resulting challenges to regulators,http://www.federalreserve.gov/boarddocs/speeches/1996/19961121.htm,,,,,"Ohio Department of Commerce, Division of Financial Institutions",,21-Nov-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Laurence H. Meyer,none,,,,,The transformation of the U.S. banking industry and resulting challenges to regulators,http://www.federalreserve.gov/boarddocs/speeches/1996/19961121.htm,"At the Ohio Bankers Day Convention, Columbus, Ohio",Ohio Bankers Day Convention,"Ohio Department of Commerce, Division of Financial Institutions",http://www.cbao.com/uploads/Marketing%20and%20Special%20Events/Registration%20Packet%20-%202013%20Ohio%20Bankers%20Day.pdf, Columbus, Ohio,Laurence H. Meyer,1
15,11/1/1996,,Supervisory and regulatory responses to financial innovation and industry dynamics,Supervisory and regulatory responses to financial innovation and industry dynamics,http://www.federalreserve.gov/boarddocs/speeches/1996/19961125.htm,,,,,BAI,,25-Nov-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Susan M. Phillips,none,,,,,Supervisory and regulatory responses to financial innovation and industry dynamics,http://www.federalreserve.gov/boarddocs/speeches/1996/19961125.htm,"At the BAI Seminar on Regulatory Policy Changes, Washington, D.C.",BAI Seminar on Regulatory Policy Changes,BAI,, Washington, D.C.,Susan M. Phillips,1
16,12/1/1996,,Clearinghouses and risk management,Clearinghouses and risk management,http://www.federalreserve.gov/boarddocs/speeches/1996/19961203.htm,,,,New York Clearing House Association (NYCHA),Clearing House,1,3-Dec-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Edward W. Kelley,Not Found in Fed Boardex,,,,,Clearinghouses and risk management,http://www.federalreserve.gov/boarddocs/speeches/1996/19961203.htm,"At the 1996 Payments System Risk Conference, Washington, D.C.",1996 Payments System Risk Conference,Clearing House,, Washington, D.C.,Edward W. Kelley,1
17,12/1/1996,,The challenge of central banking in a democratic society,The challenge of central banking in a democratic society,http://www.federalreserve.gov/boarddocs/speeches/1996/19961205.htm,,,,,The American Enterprise Institute for Public Policy Research,,5-Dec-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,,The challenge of central banking in a democratic society,http://www.federalreserve.gov/boarddocs/speeches/1996/19961205.htm,"At the Annual Dinner and Francis Boyer Lecture of The American Enterprise Institute for Public Policy Research, Washington, D.C.",Annual Dinner and Francis Boyer Lecture of The American Enterprise Institute for Public Policy R, The American Enterprise Institute for Public Policy Research,,Washington,D.C,Alan Greenspan,3
18,12/1/1996,,Social security,Social security,http://www.federalreserve.gov/boarddocs/speeches/1996/19961206.htm,,,,,Union League of Philadelphia,,6-Dec-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,,Social security,http://www.federalreserve.gov/boarddocs/speeches/1996/19961206.htm,"At the Abraham Lincoln Award Ceremony of the Union League of Philadelphia, Philadelphia, Pennsylvania",Abraham Lincoln Award Ceremony of the Union League of Philadelphia,Union League of Philadelphia,, Philadelphia, Pennsylvania,Alan Greenspan,3
19,12/1/1996, ,Supervision of bank risk-taking,Supervision of bank risk-taking,http://www.federalreserve.gov/boarddocs/speeches/1996/19961219.htm,,,,Brookings Institution (BI),The Brookings Institution,1,19-Dec-96,1996,#VALUE!,#VALUE!,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alice M. Rivlin,*Eight Entries total- only counted the years prior to 1996 as counting toward Experience Total equalling = 24 years,2013,Senior Advisor (Non-Brd),17,1,Supervision of bank risk-taking,http://www.federalreserve.gov/boarddocs/speeches/1996/19961219.htm,"At the The Brookings Institution National Issues Forum, Washington, D.C.",The Brookings Institution National Issues Forum,The Brookings Institution,, Washington, D.C.,Alice M. Rivlin,2
20,1/1/1997,,The role of structural macroeconomic models,The role of structural macroeconomic models,http://www.federalreserve.gov/boarddocs/speeches/1997/19970105.htm,,,,American Economic Association (AEA),American Economics Association,1,5-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Laurence H. Meyer,none,,,,,The role of structural macroeconomic models,http://www.federalreserve.gov/boarddocs/speeches/1997/19970105.htm,"At the AEA Panel on Monetary and Fiscal Policy, New Orleans, Louisiana",AEA Panel on Monetary and Fiscal Policy,AEA,, New Orleans, Louisiana,Laurence H. Meyer,1
