FROM SPEECH BASE DATA,DateField,tocheck notes,ORIG,speech_name,vars.link,is_Fed,multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,HFSC_donate_chair,HFSC_rankmem,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat
343,5/1/2002,,A look at the banking industry in 2002,Financial literacy,http://www.federalreserve.gov/boarddocs/speeches/2002/20020502/default.htm,,,,University of Illinois (UIC),University of Illinois at Chicago,1,2-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Edward M. Gramlich,Not Found in Fed Boardex,,,,,Financial literacy,http://www.federalreserve.gov/boarddocs/speeches/2002/20020502/default.htm,"At the Financial Literacy Teacher Training Workshop, University of Illinois at Chicago, Chicago, Illinois",Financial Literacy Teacher Training Workshop,University of Illinois at Chicago,, University of Illinois at Chicago, Chicago,Edward M. Gramlich,1
344,5/1/2002,,The dual banking system and the current condition of the banking industry ,Stock options and related matters,http://www.federalreserve.gov/boarddocs/speeches/2002/20020503/default.htm,1,,,Federal Reserve Bank of Atlanta,Federal Reserve Bank of Atlanta,,3-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,Fed-Fed,,,,,Stock options and related matters,http://www.federalreserve.gov/boarddocs/speeches/2002/20020503/default.htm,"At the 2002 Financial Markets Conference of the Federal Reserve Bank of Atlanta, Sea Island, Georgia, (via satellite)",2002 Financial Markets Conference of the Federal Reserve Bank of Atlanta, Federal Reserve Bank of Atlanta,, Sea Island, Georgia,Alan Greenspan,3
345,6/1/2002,,Lessons to be re-learned from recent breakdowns in corporate accounting ,Implications of 9/11 for the financial services sector,http://www.federalreserve.gov/boarddocs/speeches/2002/20020509/default.htm,1,,,Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,1,9-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,Fed-Fed,,,,,Implications of 9/11 for the financial services sector,http://www.federalreserve.gov/boarddocs/speeches/2002/20020509/default.htm,"At the Conference on Bank Structure and Competition, Chicago, Illinois",Conference on Bank Structure and Competition,Federal Reserve Bank of Chicago,, Chicago, Illinois,Roger W. Ferguson,2
346,6/1/2002,,Bank performance and corporate governance,Cyclicality and banking regulation,http://www.federalreserve.gov/boarddocs/speeches/2002/20020510/default.htm,1,,,Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,1,10-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,Fed-Fed,,,,,Cyclicality and banking regulation,http://www.federalreserve.gov/boarddocs/speeches/2002/20020510/default.htm,"At the Conference on Bank Structure and Competition, Federal Reserve Bank of Chicago, Chicago, Illinois",Conference on Bank Structure and Competition,Federal Reserve Bank of Chicago,, Federal Reserve Bank of Chicago, Chicago,Alan Greenspan,3
347,6/1/2002,,Banking supervision and its application in developing countries,Thoughts on success in life,http://www.federalreserve.gov/boarddocs/speeches/2002/20020511/default.htm,,,,,Webster University,,11-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Thoughts on success in life,http://www.federalreserve.gov/boarddocs/speeches/2002/20020511/default.htm,"At Webster University, St. Louis, Missouri",Webster University,Webster University,, St. Louis, Missouri,Roger W. Ferguson,2
348,7/1/2002,,Introductory remarks,Reflections on financial literacy,http://www.federalreserve.gov/boarddocs/speeches/2002/20020513/default.htm,,,,,the National Council on Economic Education,,13-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Reflections on financial literacy,http://www.federalreserve.gov/boarddocs/speeches/2002/20020513/default.htm,"Before the National Council on Economic Education, Washington, D.C.",the National Council on Economic Education,the National Council on Economic Education,, Washington, D.C.,Roger W. Ferguson,2
349,7/1/2002,,Financial markets regulation in the United States,Financing options for small business,http://www.federalreserve.gov/boarddocs/speeches/2002/20020517/default.htm,,,,,US Small Business Administration,,17-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,none,,,,,Financing options for small business,http://www.federalreserve.gov/boarddocs/speeches/2002/20020517/default.htm,"At the Small Business Development Conference, Cleveland, Ohio",Small Business Development Conference,US Small Business Administration,, Cleveland, Ohio,Mark W. Olson,1
350,7/1/2002,,Economic change in rural America,A look at the banking industry in 2002,http://www.federalreserve.gov/boarddocs/speeches/2002/20020521/default.htm,,,,,the Maryland Bankers Association,,21-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,none,,,,,A look at the banking industry in 2002,http://www.federalreserve.gov/boarddocs/speeches/2002/20020521/default.htm,"At the 107th Annual Convention of the Maryland Bankers Association, Palm Beach, Florida",107th Annual Convention of the Maryland Bankers Association,the Maryland Bankers Association,, Palm Beach, Florida,Mark W. Olson,1
351,8/1/2002,,Economic volatility,Community and regional banks: Increasing complexity and risk-management needs,http://www.federalreserve.gov/boarddocs/speeches/2002/200205212/default.htm,,,,,the North Carolina Bankers Association,,21-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,noneo,,,,,Community and regional banks: Increasing complexity and risk-management needs,http://www.federalreserve.gov/boarddocs/speeches/2002/200205212/default.htm,"At the 106th Annual Convention of the North Carolina Bankers Association, White Sulphur Springs, West Virginia",106th Annual Convention of the North Carolina Bankers Association,the North Carolina Bankers Association,, White Sulphur Springs, West V,Roger W. Ferguson,2
352,9/1/2002,,World finance and risk management,The dual banking system and the current condition of the banking industry ,http://www.federalreserve.gov/boarddocs/speeches/2002/20020531/default.htm,,,,,Conference of State Bank Supervisors,,31-May-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,none,,,,,The dual banking system and the current condition of the banking industry ,http://www.federalreserve.gov/boarddocs/speeches/2002/20020531/default.htm,"At the Annual Meeting and Conference of the Conference of State Bank Supervisors, Salt Lake City, Utah",Annual Meeting and Conference of the Conference of State Bank Supervisors, Conference of State Bank Supervisors,, Salt Lake City, Utah,Mark W. Olson,1
353,9/1/2002,,Policy coordination,Lessons to be re-learned from recent breakdowns in corporate accounting ,http://www.federalreserve.gov/boarddocs/speeches/2002/20020610/default.htm,,,,,the Institute of International Bankers,,10-Jun-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Lessons to be re-learned from recent breakdowns in corporate accounting ,http://www.federalreserve.gov/boarddocs/speeches/2002/20020610/default.htm,"Before the Institute of International Bankers, New York, New York",the Institute of International Bankers,the Institute of International Bankers,, New York, New York,Susan S. Bies,1
354,9/1/2002,,"Regulation, innovation, and wealth creation",Bank performance and corporate governance,http://www.federalreserve.gov/boarddocs/speeches/2002/20020611/default.htm,,,,,the Tennessee Bankers Association,,11-Jun-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Bank performance and corporate governance,http://www.federalreserve.gov/boarddocs/speeches/2002/20020611/default.htm,"At the 112th Annual Meeting of the Tennessee Bankers Association, Hot Springs, Virginia, Governor Bies presented identical remarks at the South Carolina Bankers Association Annual Meeting, Palm Beach, Florida, June 14, 2002",112th Annual Meeting of the Tennessee Bankers Association,the Tennessee Bankers Association,, Hot Springs, Virginia,Susan S. Bies,1
355,9/1/2002,,Bank performance and corporate governance,Banking supervision and its application in developing countries,http://www.federalreserve.gov/boarddocs/speeches/2002/20020620/default.htm,,,,World Bank,World Bank,1,20-Jun-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Banking supervision and its application in developing countries,http://www.federalreserve.gov/boarddocs/speeches/2002/20020620/default.htm,"At the World Bank Group's Finance Forum 2002, Chantilly, Virginia",World Bank Group's Finance Forum 2002,World Bank,, Chantilly, Virginia,Susan S. Bies,1
356,10/1/2002,,The challenge for corporate governance posed by financial innovation,Introductory remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/20020705/default.htm,,,,,European Central Bank,,5-Jul-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Edward M. Gramlich,Not Found in Fed Boardex,,,,,Introductory remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/20020705/default.htm,"At the International Research Forum on Monetary Policy, European Central Bank, Frankfurt, Germany",International Research Forum on Monetary Policy, European Central Bank,, European Central Bank, Frankfurt,Edward M. Gramlich,1
357,10/1/2002,,Business continuity after September 11,Financial markets regulation in the United States,http://www.federalreserve.gov/boarddocs/speeches/2002/20020708/default.htm,,,,,Unkown,,8-Jul-02,2002,#VALUE!,#VALUE!,"Oxley, Michael G.","$1,256,848 ",NA,NA,"Leach, James A.S.","$748,561 ",NA,NA,Mark W. Olson,,,,,,Financial markets regulation in the United States,http://www.federalreserve.gov/boarddocs/speeches/2002/20020708/default.htm,"At the Second Financial Summit: Challenges and Emerging Risks Facing the Financial Industry, Madrid, Spain",Second Financial Summit: Challenges and Emerging Risks Facing the Financial Industry,,, Madrid, Sp,Mark W. Olson,1
358,10/1/2002,,Banking,Economic change in rural America,http://www.federalreserve.gov/boarddocs/speeches/2002/20020726/default.htm,,,,,the Fergus Falls Rotary Club,,26-Jul-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,none,,,,,Economic change in rural America,http://www.federalreserve.gov/boarddocs/speeches/2002/20020726/default.htm,"Before the Fergus Falls Rotary Club, Fergus Falls, Minnesota",the Fergus Falls Rotary Club,the Fergus Falls Rotary Club,, Fergus Falls, Minnesota,Mark W. Olson,1
359,10/1/2002,,Corporate governance and risk management,Economic volatility,http://www.federalreserve.gov/boarddocs/speeches/2002/20020830/default.htm,1,,,Federal Reserve Bank of Kansas City,Federal Reserve Bank of Kansas City,1,30-Aug-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,Fed-Fed,,,,,Economic volatility,http://www.federalreserve.gov/boarddocs/speeches/2002/20020830/default.htm,"At a symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming",ymposium sponsored by the Federal Reserve Bank of Kansas City,Federal Reserve Bank of Kansas City,, Jackson Hole, Wyoming,Alan Greenspan,3
360,10/1/2002,,Central banks and markets,Policy coordination,http://www.federalreserve.gov/boarddocs/speeches/2002/20020925/default.htm,,,,,HM Treasury,,25-Sep-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,Policy coordination,http://www.federalreserve.gov/boarddocs/speeches/2002/20020925/default.htm,"At the opening of the new HM Treasury Building, London, U.K.",opening of the new HM Treasury Building, HM Treasury,, London, U.K.,Alan Greenspan,3
361,10/1/2002,,"Asset-price ""bubbles"" and monetary policy",World finance and risk management,http://www.federalreserve.gov/boarddocs/speeches/2002/200209253/default.htm,,,,,Lancaster House,,25-Sep-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,World finance and risk management,http://www.federalreserve.gov/boarddocs/speeches/2002/200209253/default.htm,"At Lancaster House, London, U.K.",caster House,Lancaster House,, London, U.K.,Alan Greenspan,3
362,10/1/2002,,Remarks,"Regulation, innovation, and wealth creation",http://www.federalreserve.gov/boarddocs/speeches/2002/200209252/default.htm,,,,,the Society of Business Economists,,25-Sep-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,"Regulation, innovation, and wealth creation",http://www.federalreserve.gov/boarddocs/speeches/2002/200209252/default.htm,"Before the Society of Business Economists, London, U.K.",the Society of Business Economists,the Society of Business Economists,, London, U.K.,Alan Greenspan,3
363,10/1/2002,,The methodology of benefit-cost analysis,Bank performance and corporate governance,http://www.federalreserve.gov/boarddocs/speeches/2002/20020928/default.htm,,,,,the Pennsylvania Association of Community Bankers,,28-Sep-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Bank performance and corporate governance,http://www.federalreserve.gov/boarddocs/speeches/2002/20020928/default.htm,"Before the Pennsylvania Association of Community Bankers, Memphis, Tennessee",the Pennsylvania Association of Community Bankers,the Pennsylvania Association of Community Bankers,, Memphis, Tennessee,Susan S. Bies,1
364,10/1/2002,,Should financial stability be an explicit central bank objective?,The challenge for corporate governance posed by financial innovation,http://www.federalreserve.gov/boarddocs/speeches/2002/20021001/default.htm,,,,,Carnegie Endowment for International Peace,,1-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,The challenge for corporate governance posed by financial innovation,http://www.federalreserve.gov/boarddocs/speeches/2002/20021001/default.htm,"At the Carnegie Endowment for International Peace, Washington, D.C.",Carnegie Endowment for International Peace,Carnegie Endowment for International Peace,, Washington, D.C.,Susan S. Bies,1
365,10/1/2002,,Urban revitalization: Shared responsibilities,Business continuity after September 11,http://www.federalreserve.gov/boarddocs/speeches/2002/20021003/default.htm,,,,,SWIFT,,3-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Business continuity after September 11,http://www.federalreserve.gov/boarddocs/speeches/2002/20021003/default.htm,"At the SWIFT Sibos World Forum, Geneva, Switzerland",SWIFT Sibos World Forum,SWIFT,, Geneva, Switzerland,Roger W. Ferguson,2
366,10/1/2002,,Productivity,Banking,http://www.federalreserve.gov/boarddocs/speeches/2002/20021007/default.htm,,,1,American Bankers Association (ABA),American Bankers Association,1,7-Oct-02,2002,0.28%,0.00%,"Oxley, Michael G.","$1,256,848 ","$3,500 ",96,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,Banking,http://www.federalreserve.gov/boarddocs/speeches/2002/20021007/default.htm,"At the annual convention of the American Bankers Association, Phoenix, Arizona (via satellite)",annual convention of the American Bankers Association, American Bankers Association,, Phoenix, Arizona (via satellite),Alan Greenspan,3
367,10/1/2002,,Productivity growth: A realistic assessment,Corporate governance and risk management,http://www.federalreserve.gov/boarddocs/speeches/2002/20021008/default.htm,,,,Fordham University,Fordham University School of Law,1,8-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Corporate governance and risk management,http://www.federalreserve.gov/boarddocs/speeches/2002/20021008/default.htm,"At the Annual International Symposium on Derivatives and Risk Management, Fordham University School of Law, New York, New York",Annual International Symposium on Derivatives and Risk Management, Fordham University School of Law,, Fordham University School of,,Susan S. Bies,1
368,10/1/2002,,Education,Central banks and markets,http://www.federalreserve.gov/boarddocs/speeches/2002/20021009/default.htm,,,,,Bond Market Association ,,9-Oct-02,2002,0.80%,0.00%,"Oxley, Michael G.","$1,256,848 ","$10,000 ",6,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Central banks and markets,http://www.federalreserve.gov/boarddocs/speeches/2002/20021009/default.htm,"At the Bond Market Association 2002 Awards Dinner, New York, New York",Bond Market Association 2002 Awards Dinner, Bond Market Association ,, New York, New York,Roger W. Ferguson,2
369,11/1/2002,,Opening remarks,"Asset-price ""bubbles"" and monetary policy",http://www.federalreserve.gov/boarddocs/speeches/2002/20021015/default.htm,,,,,the New York Chapter of the National Association for Business Economics,,15-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Ben S. Bernanke,none,,,,,"Asset-price ""bubbles"" and monetary policy",http://www.federalreserve.gov/boarddocs/speeches/2002/20021015/default.htm,Before the New York Chapter of the National Association for Business Economics,the New York Chapter of the National Association for Business Economics,the New York Chapter of the National Association for Business Economics,,,,Ben S. Bernanke,1
370,11/1/2002,,Effective accounting and disclosure for financial transactions and financial institutions,Remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200210162/default.htm,,,,,Federal Reserve Bank of Huston,,16-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,Fed-Fed,,,,,Remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200210162/default.htm,At the groundbreaking ceremony for the new Houston Branch building,groundbreaking ceremony for the new Houston Branch building,Federal Reserve Bank of Huston,,,,Roger W. Ferguson,2
371,11/1/2002,,On Milton Friedman's ninetieth birthday,Should financial stability be an explicit central bank objective?,http://www.federalreserve.gov/boarddocs/speeches/2002/20021016/default.htm,,,,,International Monetary Fund ,,16-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Should financial stability be an explicit central bank objective?,http://www.federalreserve.gov/boarddocs/speeches/2002/20021016/default.htm,"Paper presented to an International Monetary Fund conference on Challenges to Central Banking from Globalized Financial Markets, Washington, D.C.",presented to an International Monetary Fund conference on Challenges to Central Banking from Glob,International Monetary Fund ,,,,Roger W. Ferguson,2
372,11/1/2002,,The wealth of nations revisited,The methodology of benefit-cost analysis,http://www.federalreserve.gov/boarddocs/speeches/2002/200210163/default.htm,,,,,Western Michigan University,,16-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Edward M. Gramlich,Not Found in Fed Boardex,,,,,The methodology of benefit-cost analysis,http://www.federalreserve.gov/boarddocs/speeches/2002/200210163/default.htm,"At the Werner Sichel Economics Lecture-Seminar Series, Western Michigan University, Kalamazoo, Michigan",Werner Sichel Economics Lecture-Seminar Series,Western Michigan University,, Western Michigan University, Kalamazoo,Edward M. Gramlich,1
373,11/1/2002,,Recent experience and economic outlook,Urban revitalization: Shared responsibilities,http://www.federalreserve.gov/boarddocs/speeches/2002/20021022/default.htm,,,,Federal Reserve Bank of St Louis,Federal Reserve Bank of St. Louis,,22-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,Fed-Fed,,,,,Urban revitalization: Shared responsibilities,http://www.federalreserve.gov/boarddocs/speeches/2002/20021022/default.htm,"At the Federal Reserve Bank of St. Louis Conference: ""Rays of Hope: A New Day for America's Distressed Urban Areas,"" East St. Louis, Illinois","Federal Reserve Bank of St. Louis Conference: ""Rays of Hope: A New Day for America's Distressed",Federal Reserve Bank of St. Louis,,,,Mark W. Olson,1
374,11/1/2002,,Opening remarks,Productivity,http://www.federalreserve.gov/boarddocs/speeches/2002/20021023/default.htm,,1,,US Department of Labor,U.S. Department of Labor and American Enterprise Institute,1,23-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,Productivity,http://www.federalreserve.gov/boarddocs/speeches/2002/20021023/default.htm,"At the U.S. Department of Labor and American Enterprise Institute Conference, Washington, D.C.",U.S. Department of Labor and American Enterprise Institute Conference,U.S. Department of Labor and American Enterprise Institute,, Washington, D.C.,Alan Greenspan,3
375,11/1/2002,,The banking industry in 2002 after a decade of change,Productivity,http://www.federalreserve.gov/boarddocs/speeches/2002/20021023/default.htm,,1,,,U.S. Department of Labor and American Enterprise Institute,,23-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,Productivity,http://www.federalreserve.gov/boarddocs/speeches/2002/20021023/default.htm,"At the U.S. Department of Labor and American Enterprise Institute Conference, Washington, D.C.",U.S. Department of Labor and American Enterprise Institute Conference,U.S. Department of Labor and American Enterprise Institute,, Washington, D.C.,Alan Greenspan,3
376,11/1/2002,,Economic progress and small business,Productivity growth: A realistic assessment,http://www.federalreserve.gov/boarddocs/speeches/2002/20021024/default.htm,,,,,London Business School,,24-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Productivity growth: A realistic assessment,http://www.federalreserve.gov/boarddocs/speeches/2002/20021024/default.htm,"At the Stockton Lectures 2002, London Business School, London, U.K.",Stockton Lectures 2002,London Business School,, London Business School, London,Roger W. Ferguson,2
377,11/1/2002,,Opening remarks,Education,http://www.federalreserve.gov/boarddocs/speeches/2002/20021029/default.htm,,,,,Institute of International Education,1,29-Oct-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,Education,http://www.federalreserve.gov/boarddocs/speeches/2002/20021029/default.htm,"At the International Understanding Award Dinner, Institute of International Education, New York, New York",International Understanding Award Dinner, Institute of International Education,, Institute of International Education, New York,Alan Greenspan,3
378,11/1/2002,,Overcoming challenges and seizing opportunities in Indian Country,Effective accounting and disclosure for financial transactions and financial institutions,http://www.federalreserve.gov/boarddocs/speeches/2002/20021107/default.htm,,,,,American Institute of Certified Public Accountants,,7-Nov-02,2002,0.80%,0.00%,"Oxley, Michael G.","$1,256,848 ","$10,000 ",6,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Effective accounting and disclosure for financial transactions and financial institutions,http://www.federalreserve.gov/boarddocs/speeches/2002/20021107/default.htm,"At the National Conference on Banks and Savings Institutions, American Institute of Certified Public Accountants, Washington, D.C.",National Conference on Banks and Savings Institutions,American Institute of Certified Public Accountants,, American Institute of Certified Public Ac,,Susan S. Bies,1
379,11/1/2002,,International financial risk management,Opening remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200211072/default.htm,,,,,Federal Reserve Bank of Cleveland,,7-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Edward M. Gramlich,Fed-Fed,,,,,Opening remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200211072/default.htm,"At the Federal Reserve Bank of Cleveland Conference ""Livable Communities: Linking Community Development and Smart Growth,"" Cincinnati, Ohio","Federal Reserve Bank of Cleveland Conference ""Livable Communities: Linking Community Development",Federal Reserve Bank of Cleveland,,,,Edward M. Gramlich,1
380,11/1/2002,,Financial engineering and financial stability,On Milton Friedman's ninetieth birthday,http://www.federalreserve.gov/boarddocs/speeches/2002/20021108/default.htm,,,,,University of Chicago,,8-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Ben S. Bernanke,none,,,,,On Milton Friedman's ninetieth birthday,http://www.federalreserve.gov/boarddocs/speeches/2002/20021108/default.htm,"At the Conference to Honor Milton Friedman, University of Chicago, Chicago, Illinois",Conference to Honor Milton Friedman,University of Chicago,, University of Chicago, Chicago,Ben S. Bernanke,1
381,11/1/2002,,"Deflation: Making sure ""it"" doesn't happen here",The wealth of nations revisited,http://www.federalreserve.gov/boarddocs/speeches/2002/20021112/default.htm,,,,,Banco de Mexico,,12-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Alan Greenspan,none,,,,,The wealth of nations revisited,http://www.federalreserve.gov/boarddocs/speeches/2002/20021112/default.htm,"At Banco de Mexico's Second International Conference: ""Macroeconomic Stability, Financial Markets, and Economic Development,"" Mexico City, Mexico","co de Mexico's Second International Conference: ""Macroeconomic Stability",Banco de Mexico,, Financial Markets, and,Alan Greenspan,3
382,11/1/2002,,The U.S. current account deficit,Recent experience and economic outlook,http://www.federalreserve.gov/boarddocs/speeches/2002/200211122/default.htm,,,,,Carnegie Mellon University,,12-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Recent experience and economic outlook,http://www.federalreserve.gov/boarddocs/speeches/2002/200211122/default.htm,"At the 2003 Global Economic and Investment Outlook Conference, Carnegie Mellon University, Pittsburgh, Pennsylvania",2003 Global Economic and Investment Outlook Conference, Carnegie Mellon University,, Carnegie Mellon University, Pittsburgh,Roger W. Ferguson,2
383,12/1/2002,,Credit availability for small business,Opening remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200211125/default.htm,,,,,Embassy of Canada,,12-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Susan S. Bies,none,,,,,Opening remarks,http://www.federalreserve.gov/boarddocs/speeches/2002/200211125/default.htm,"At the Canadian American Business Council's RBC Distinguished Speakers Series, Embassy of Canada, Washington, D.C.",Canadian American Business Council's RBC Distinguished Speakers Series,Embassy of Canada,, Embassy of Canada, Washi,Susan S. Bies,1
384,12/1/2002,,The importance of market structure,The banking industry in 2002 after a decade of change,http://www.federalreserve.gov/boarddocs/speeches/2002/200211124/default.htm,,,,,Ohio Bankers League,,12-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Mark W. Olson,none,,,,,The banking industry in 2002 after a decade of change,http://www.federalreserve.gov/boarddocs/speeches/2002/200211124/default.htm,"At the First Annual Convention of the Ohio Bankers League, Columbus, Ohio",First Annual Convention of the Ohio Bankers League, Ohio Bankers League,, Columbus, Ohio,Mark W. Olson,1
385,12/1/2002,,Issues for monetary policy,Economic progress and small business,http://www.federalreserve.gov/boarddocs/speeches/2002/200211123/default.htm,,,,,the African American Chamber of Commerce of Western Pennsylvania,,12-Nov-02,2002,0.00%,0.00%,"Oxley, Michael G.","$1,256,848 ",0,0,"Leach, James A.S.","$748,561 ",0,0,Roger W. Ferguson,none,,,,,Economic progress and small business,http://www.federalreserve.gov/boarddocs/speeches/2002/200211123/default.htm,"Before the African American Chamber of Commerce of Western Pennsylvania, Pittsburgh, Pennsylvania",the African American Chamber of Commerce of Western Pennsylvania,the African American Chamber of Commerce of Western Pennsylvania,, Pittsburgh, Pennsylvania,Roger W. Ferguson,2
