multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
,,,University of Tennessee,,24 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Susan M. Phillips,none,,,,Accounting and auditing standards and bank supervision,http://www.federalreserve.gov/boarddocs/speeches/1996/19961024.htm,"At the 23rd Annual Accounting Lecture Series of the University of Tennessee, Chattanooga, Tennessee",23rd Annual Accounting Lecture Series of the University of Tennessee, University of Tennessee,, Chattanooga, Tennessee,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,BAI ,,31 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Edward W. Kelley,Not Found in Fed Boardex,,,,The future of electronic payments,http://www.federalreserve.gov/boarddocs/speeches/1996/19961031.htm,"At the BAI Money Transfer '96 Conference, New York, New York",BAI Money Transfer '96 Conference,BAI ,, New York, New York,Edward W. Kelley,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,Federation of Bankers Associations of Japan,,18 Nov 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,Banking in the global marketplace,http://www.federalreserve.gov/boarddocs/speeches/1996/19961118.htm,"At the Federation of Bankers Associations of Japan, Tokyo, Japan",Federation of Bankers Associations of Japan,Federation of Bankers Associations of Japan,, Tokyo, Japan,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,"Ohio Department of Commerce, Division of Financial Institutions",,21 Nov 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Laurence H. Meyer,none,,,,The transformation of the U.S. banking industry and resulting challenges to regulators,http://www.federalreserve.gov/boarddocs/speeches/1996/19961121.htm,"At the Ohio Bankers Day Convention, Columbus, Ohio",Ohio Bankers Day Convention,"Ohio Department of Commerce, Division of Financial Institutions",http://www.cbao.com/uploads/Marketing%20and%20Special%20Events/Registration%20Packet%20-%202013%20Ohio%20Bankers%20Day.pdf, Columbus, Ohio,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,BAI,,25 Nov 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Susan M. Phillips,none,,,,Supervisory and regulatory responses to financial innovation and industry dynamics,http://www.federalreserve.gov/boarddocs/speeches/1996/19961125.htm,"At the BAI Seminar on Regulatory Policy Changes, Washington, D.C.",BAI Seminar on Regulatory Policy Changes,BAI,, Washington, D.C.,Susan M. Phillips,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,New York Clearing House Association (NYCHA),Clearing House,1,3 Dec 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Edward W. Kelley,Not Found in Fed Boardex,,,,Clearinghouses and risk management,http://www.federalreserve.gov/boarddocs/speeches/1996/19961203.htm,"At the 1996 Payments System Risk Conference, Washington, D.C.",1996 Payments System Risk Conference,Clearing House,, Washington, D.C.,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,The American Enterprise Institute for Public Policy Research,,5 Dec 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,The challenge of central banking in a democratic society,http://www.federalreserve.gov/boarddocs/speeches/1996/19961205.htm,"At the Annual Dinner and Francis Boyer Lecture of The American Enterprise Institute for Public Policy Research, Washington, D.C.",Annual Dinner and Francis Boyer Lecture of The American Enterprise Institute for Public Policy R, The American Enterprise Institute for Public Policy Research,,Washington,D.C,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,Union League of Philadelphia,,6 Dec 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,Social security,http://www.federalreserve.gov/boarddocs/speeches/1996/19961206.htm,"At the Abraham Lincoln Award Ceremony of the Union League of Philadelphia, Philadelphia, Pennsylvania",Abraham Lincoln Award Ceremony of the Union League of Philadelphia,Union League of Philadelphia,, Philadelphia, Pennsylvania,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
,,Brookings Institution (BI),The Brookings Institution,1,19 Dec 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alice M. Rivlin,*Eight Entries total- only counted the years prior to 1996 as counting toward Experience Total equalling = 24 years,2013,Senior Advisor (Non-Brd),17,Supervision of bank risk-taking,http://www.federalreserve.gov/boarddocs/speeches/1996/19961219.htm,"At the The Brookings Institution National Issues Forum, Washington, D.C.",The Brookings Institution National Issues Forum,The Brookings Institution,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,American Economic Association (AEA),American Economics Association,1,5 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,The role of structural macroeconomic models,http://www.federalreserve.gov/boarddocs/speeches/1997/19970105.htm,"At the AEA Panel on Monetary and Fiscal Policy, New Orleans, Louisiana",AEA Panel on Monetary and Fiscal Policy,AEA,, New Orleans, Louisiana,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Catholic University Leuven,,14 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,Central banking and global finance,http://www.federalreserve.gov/boarddocs/speeches/1997/19970114.htm,"At the Catholic University Leuven, Leuven, Belgium",Catholic University Leuven,Catholic University Leuven,, Leuven, Belgium,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Charlotte Economics Club,,16 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,The economic outlook and challenges for monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970116.htm,"At the Charlotte Economics Club, Charlotte, North Carolina",Charlotte Economics Club,Charlotte Economics Club,, Charlotte, North Carolina,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Southwestern Graduate School of Banking,,24 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Financial modernization: Rationalizing the structure of the financial services industry,http://www.federalreserve.gov/boarddocs/speeches/1997/19970124.htm,"At the 99th Assembly for Bank Directors, Southwestern Graduate School of Banking, Westin Regina Resort, Puerto Vallarta, Mexico",99th Assembly for Bank Directors,Southwestern Graduate School of Banking,, Southwestern Graduate School of Banking, Westin Regina Resort,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,International Monetary Fund,,28 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Susan M. Phillips,none,,,,International competition: Should we harmonize our national regulatory systems?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970128.htm,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,International Monetary Fund,,Sponsored,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,International Monetary Fund,,29 Jan 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Edward W. Kelley,Not Found in Fed Boardex,,,,Are banks still special?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970129.htm,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets, Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,International Monetary Fund,, Sponsored,,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Atlanta Society of Financial Analysis,,14 Feb 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Susan M. Phillips,none,,,,Risk management for banks and banking regulators in the 21st century,http://www.federalreserve.gov/boarddocs/speeches/1997/19970214.htm,"At the Atlanta Society of Financial Analysis, Atlanta, Georgia",Atlanta Society of Financial Analysis,Atlanta Society of Financial Analysis,, Atlanta, Georgia,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Federal Reserve Bank of Atlanta,,21 Feb 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,Fed-Fed,,,,Government regulation and derivative contracts,http://www.federalreserve.gov/boarddocs/speeches/1997/19970221.htm,"At the Financial Markets Conference of the Federal Reserve Bank of Atlanta, Coral Gables, Florida",Financial Markets Conference of the Federal Reserve Bank of Atlanta,Federal Reserve Bank of Atlanta,, Coral Gables, Florida,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,Institute of International Bankers,,3 Mar 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Susan M. Phillips,none,,,,Recent developments in supervision and regulation and how they affect the debate on financial modernization,http://www.federalreserve.gov/boarddocs/speeches/1997/19970303.htm,At the Annual Washington Conference of the Institute of International Bankers,Annual Washington Conference of the Institute of International Bankers,Institute of International Bankers,,,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Unkown,,7 Mar 1997,1997,"Leach, James A.S.","$633,324",,,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,,,,,Privacy in the information age,http://www.federalreserve.gov/boarddocs/speeches/1997/19970307.htm,"At the Conference on Privacy in the Information Age, Salt Lake City, Utah",Conference on Privacy in the Information Age,,, Salt Lake City, Utah,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
,,,National Community Reinvestment Coalition,,13 Mar 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alice M. Rivlin,none,,,,Sustaining CRA's success,http://www.federalreserve.gov/boarddocs/speeches/1997/19970313.htm,"At the Annual Meeting of the National Community Reinvestment Coalition, Washington, D.C.",Annual Meeting of the National Community Reinvestment Coalition,National Community Reinvestment Coalition,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
,,,Independent Bankers Association of America,,22 Mar 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,Financial reform and the importance of a decentralized banking structure,http://www.federalreserve.gov/boarddocs/speeches/1997/19970322.htm,"At the Annual Convention of the Independent Bankers Association of America, Phoenix, Arizona",Annual Convention of the Independent Bankers Association of America, Independent Bankers Association of America,, Phoenix, Arizona,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Eastern Economic Association,,4 Apr 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alice M. Rivlin,none,,,,The challenges of macroeconomic policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970404.htm,"At the Annual Meeting of the Eastern Economic Association, Washington, D.C.",Annual Meeting of the Eastern Economic Association,Eastern Economic Association,, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,Bard College,Jerome Levy Economics Institute of Bard College,1,10 Apr 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Issues in financial modernization,http://www.federalreserve.gov/boarddocs/speeches/1997/19970410.htm,"At the Seventh Annual Conference on Financial Structure, Annandale-on-Hudson, New York",Seventh Annual Conference on Financial Structure,Jerome Levy Economics Institute of Bard College,, Annandale-on-Hudson, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Association of Private Enterprise Education,,12 Apr 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,The evolution of banking in a market economy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970412.htm,"At the Annual Conference of the Association of Private Enterprise Education, Arlington, Virginia",Annual Conference of the Association of Private Enterprise Education,Association of Private Enterprise Education,, Arlington, Virginia,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
,,,Forecasters Club of New York,,24 Apr 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,The economic outlook and challenges facing monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970424.htm,"At the Forecasters Club of New York, New York, New York",Forecasters Club of New York,Forecasters Club of New York,, New York, New York,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Institute of International Finance,,29 Apr 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,G-7 economic summit meeting,http://www.federalreserve.gov/boarddocs/speeches/1997/19970429.htm,"At the Spring Meeting of the Institute of International Finance, Washington, D.C.",Spring Meeting of the Institute of International Finance,Institute of International Finance,, Washington, D.C.,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,1,1 May 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,Fed-Fed,,,,Technological change and the design of bank supervisory policies,http://www.federalreserve.gov/boarddocs/speeches/1997/19970501.htm,"At the Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago, Chicago, Illinois",Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago, Federal Reserve Bank of Chicago,, Chicago, Il,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,Conference of State Bank Supervisors (CSBS),Conference of State Bank Supervisors,1,3 May 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,Financial reform and importance of the state charter,http://www.federalreserve.gov/boarddocs/speeches/1997/19970503.htm,"At the Annual Meeting and Conference of the Conference of State Bank Supervisors, San Diego, California",Annual Meeting and Conference of the Conference of State Bank Supervisors,Conference of State Bank Supervisors,, San Diego, California,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,New York University (NYU),Stern School of Business,1,8 May 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,Current monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970508.htm,"At the 1997 Haskins Partners Dinner of the Stern School of Business, New York University, New York, New York",1997 Haskins Partners Dinner of the Stern School of Business, Stern School of Business,, New York University, New York,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,"Leonard N Stern School of Business, New York University",Leonard N. Stern School of Business,1,23 May 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,The role of banks in small business finance,http://www.federalreserve.gov/boarddocs/speeches/1997/19970523.htm,"At the Conference on Small Business Finance, New York, New York",Conference on Small Business Finance,Leonard N. Stern School of Business,, New York, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Woodrow Wilson International Center for Scholars,,10 Jun 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,The embrace of free markets,http://www.federalreserve.gov/boarddocs/speeches/1997/19970610.htm,"At the Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars, New York, New York",Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars,Woodrow Wilson International Center for Scholars,, New York, N,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Exchequer Club,,18 Jun 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Susan M. Phillips,none,,,,The changing financial landscape and umbrella supervision,http://www.federalreserve.gov/boarddocs/speeches/1997/19970618.htm,"At the Exchequer Club, Washington, D.C.",Exchequer Club,Exchequer Club,, Washington, D.C.,Susan M. Phillips,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Neighborhood Housing Services of New York City,,18 Jun 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Models for neighborhood development and reinvestment,http://www.federalreserve.gov/boarddocs/speeches/1997/199706182.htm,At the Annual Meeting on Neighborhood Housing Services of New York City,Annual Meeting on Neighborhood Housing Services of New York City,Neighborhood Housing Services of New York City,,,,Laurence H. Meyer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
,,,the National Association of Affordable Housing Lender,,4 Sep 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Affordable housing,http://www.federalreserve.gov/boarddocs/speeches/1997/19970904.htm,"Before the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference, Boston, Massachusetts",the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference,the National Association of Affordable Housing Lender,, Bos,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
,,Stanford Institute for Economic Policy Research (SIEPR),Center for Economic Policy Research at Stanford University,1,5 Sep 1997,1997,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,Rules vs. discretionary monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970905.htm,"At the 15th Anniversary Conference of the Center for Economic Policy Research at Stanford University, Stanford, California",15th Anniversary Conference of the Center for Economic Policy Research at Stanford University,Center for Economic Policy Research at Stanford University,, S,,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
