initialorder,Date,speechtitle,TestimonyHyperlink,name,position_cat1,position_cat2,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,duplicatespeech,legislature,full_date,HearingNumber,TranscriptHyperlink,FedLetterCorrespondence,attendance,laughter,SecondTestimony,SpecialInterest,
308,11-Feb-1999,H.R. 10 and the need for financial reform,http://www.federalreserve.gov/boarddocs/testimony/1999/19990211.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,11/02/1999,,,,,,,,
314,1-Oct-1998,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management",http://www.federalreserve.gov/boarddocs/testimony/1998/19981001.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,01/10/1998,,,,,,,,
315,1-Oct-1998,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management",http://www.newyorkfed.org/newsevents/speeches/1998/mcd981001.html,William J. McDonough,President,Federal Reserve Bank of New York,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,01/10/1998,,,,,,,,
317,17-Sep-1998,Year 2000 progress of the banking and financial services sector,http://www.federalreserve.gov/boarddocs/testimony/1998/19980917.htm,Edward W. Kelley Jr.,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,17/09/1998,,,,,,,,
318,16-Sep-1998,International economic and financial system,http://www.federalreserve.gov/boarddocs/testimony/1998/19980916.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,16/09/1998,,,,,,,,
321,24-Jul-1998,The regulation of OTC derivatives,http://www.federalreserve.gov/boarddocs/testimony/1998/19980724.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,24/07/1998,,,,,,,,
327,11-Jun-1998,Anti-money-laundering efforts and related proposed legislation,http://www.federalreserve.gov/boarddocs/testimony/1998/19980611.htm,Herbert A. Biern,Associate Director,Division of Banking Supervision and Regulation,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,11/06/1998,,,,,,,,
333,29-Apr-1998,Mergers and acquisitions in banking and other financial services,http://www.federalreserve.gov/boarddocs/testimony/1998/199804292.htm,Laurence H. Meyer,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,29/04/1998,,,,,,,,
343,30-Jan-1998,The current Asia crisis and the dynamics of international finance,http://www.federalreserve.gov/boarddocs/testimony/1998/19980130.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,30/01/1998,,,,,,,,
347,13-Nov-1997,The growing international financial system,http://www.federalreserve.gov/boarddocs/testimony/1997/19971113.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,13/11/1997,,,,,,,,
