docId,filename,top1,top1.prop,top2,top2.prop,top3,top3.prop,top4,top4.prop,top5,top5.prop
45,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.105.txt,0,0.668328047,2,0.123697326,3,0.102854557,1,0.063887633,,
46,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.106.txt,0,0.424903721,2,0.26700899,4,0.15661104,1,0.088575095,3,0.062901154
47,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.107.txt,0,0.626675606,3,0.22050938,2,0.070375338,1,0.054289546,,
48,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.108.txt,4,0.692113221,2,0.210819006,,,,,,
49,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.109.txt,1,0.49136579,4,0.174254313,0,0.167974889,3,0.103610672,2,0.06279435
50,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.11.txt,4,0.821621597,2,0.069369368,1,0.050450452,,,,
51,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.110.txt,1,0.5,4,0.230769232,0,0.138932496,2,0.088697016,,
52,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.111.txt,3,0.567694962,0,0.317909181,2,0.083976008,,,,
53,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.112.txt,1,0.489345521,0,0.213850841,2,0.122526638,4,0.097412482,3,0.076864533
54,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.113.txt,4,0.414587319,1,0.19769673,2,0.190978885,0,0.146833017,,
55,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.114.txt,4,0.391805381,2,0.230473757,3,0.153649166,0,0.113956466,1,0.110115238
56,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.115.txt,4,0.687190771,2,0.210555255,0,0.052226499,,,,
57,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.116.txt,0,0.487265408,2,0.231903479,3,0.175603211,1,0.076407507,,
58,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.117.txt,4,0.522004902,2,0.190097794,1,0.161980435,0,0.101466991,,
59,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.118.txt,4,0.299865216,0,0.276280314,1,0.181266844,2,0.130053908,3,0.112533696
60,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.119.txt,0,0.444801718,2,0.35798499,4,0.129689172,,,,
61,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.12.txt,2,0.362204731,4,0.323709548,1,0.173228353,0,0.092738405,,
62,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.120.txt,1,0.667630076,4,0.146820813,2,0.079190753,3,0.053757224,0,0.052601155
63,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.121.txt,4,0.794822633,2,0.079578139,1,0.077660598,,,,
64,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.122.txt,0,0.350998461,3,0.343317986,2,0.152073726,4,0.099078342,1,0.054531489
65,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.123.txt,4,0.538908243,2,0.191056907,0,0.138792098,1,0.098141693,,
66,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.124.txt,4,0.592943668,2,0.202738285,0,0.114797264,1,0.066877306,,
67,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.125.txt,3,0.542335749,0,0.19197081,2,0.14817518,1,0.080291972,,
68,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.126.txt,4,0.49691993,1,0.198494181,2,0.188911706,0,0.101300478,,
69,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.127.txt,0,0.526090086,2,0.200857759,4,0.131522521,1,0.075768404,3,0.065761261
70,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.128.txt,0,0.483320415,1,0.392552376,4,0.057408843,,,,
71,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.129.txt,0,0.442386836,1,0.194444448,3,0.173868313,2,0.115226336,4,0.074074075
72,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.13.txt,4,0.598981082,2,0.261280924,0,0.079330422,,,,
73,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.130.txt,3,0.599615932,0,0.279884785,2,0.092174746,,,,
74,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.131.txt,4,0.593798459,2,0.272868216,0,0.068217054,,,,
75,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.132.txt,4,0.400702983,2,0.186291739,0,0.184534267,1,0.133567661,3,0.094903342
76,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.133.txt,0,0.332305312,4,0.262143403,2,0.255975336,3,0.121819586,,
77,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.134.txt,1,0.60368216,2,0.153100774,4,0.127906978,0,0.090116277,,
78,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.135.txt,1,0.403590947,0,0.324746281,2,0.164715067,3,0.05542545,4,0.051522247
79,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.136.txt,1,0.452358931,0,0.261794627,2,0.127659574,4,0.111008324,,
80,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.137.txt,4,0.374768078,1,0.322820038,2,0.196660489,3,0.06679035,,
81,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.138.txt,4,0.537682772,2,0.227221593,0,0.109673791,1,0.073678292,3,0.051743533
82,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.139.txt,0,0.601632059,1,0.112759642,4,0.098664686,2,0.098664686,3,0.088278934
83,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.14.txt,4,0.635160685,2,0.21361059,0,0.070415877,1,0.065217391,,
84,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.140.txt,1,0.726582289,4,0.129113927,2,0.071729958,,,,
85,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.141.txt,2,0.401345283,4,0.293721974,0,0.213004485,3,0.068759345,,
86,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.142.txt,4,0.316141993,0,0.238446087,1,0.182183519,2,0.178164765,3,0.085063629
87,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.143.txt,0,0.619160712,1,0.15597783,2,0.109263659,3,0.068091847,,
88,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.144.txt,4,0.470588237,1,0.224913493,2,0.193771631,0,0.08581315,,
89,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.145.txt,0,0.44072035,3,0.405702859,2,0.120060027,,,,
90,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.146.txt,0,0.842729986,1,0.081107818,,,,,,
91,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.147.txt,2,0.379984051,0,0.275518328,3,0.168660283,4,0.160287082,,
92,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.148.txt,3,0.555352807,0,0.346715331,,,,,,
93,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.149.txt,0,0.530995131,3,0.269983679,2,0.126427412,,,,
94,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.15.txt,4,0.870625675,,,,,,,,
95,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.150.txt,2,0.395445138,0,0.347826093,4,0.124913737,3,0.111801244,,
96,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.151.txt,0,0.740550637,3,0.126458243,4,0.05039664,,,,
97,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.152.txt,1,0.472256482,3,0.188655987,0,0.152897656,4,0.117139332,2,0.069050558
98,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.153.txt,0,0.643010736,1,0.132258058,3,0.110752687,2,0.079569891,,
99,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.154.txt,0,0.618715107,3,0.163407817,2,0.120111734,4,0.064245813,,
100,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.155.txt,0,0.818279564,1,0.080645159,,,,,,
101,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.156.txt,4,0.75697571,2,0.134563461,,,,,,
102,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.157.txt,3,0.50801748,0,0.209912539,2,0.141399413,1,0.101311952,,
103,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.158.txt,0,0.502105236,1,0.318947375,4,0.094736844,2,0.055789474,,
104,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.159.txt,4,0.554371953,2,0.346648902,0,0.057700843,,,,
105,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.16.txt,4,0.396193773,2,0.314878881,1,0.200692043,0,0.074394464,,
106,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.160.txt,1,0.725641012,4,0.096581198,2,0.084188037,,,,
107,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.161.txt,4,0.618932068,1,0.121359222,2,0.116504855,3,0.084951453,0,0.058252428
108,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.162.txt,4,0.430638283,2,0.232340425,1,0.195744678,0,0.123404257,,
109,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.163.txt,0,0.42419222,2,0.231980115,3,0.186412588,4,0.109362058,,
110,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.164.txt,3,0.728218436,0,0.227568269,,,,,,
111,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.165.txt,0,0.596858621,1,0.202094242,4,0.100523561,2,0.069109946,,
112,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.166.txt,3,0.707782686,2,0.096916303,4,0.093245231,0,0.067547724,,
113,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.167.txt,1,0.64923352,4,0.118124433,2,0.10730388,0,0.08566276,,
114,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.168.txt,2,0.366666675,1,0.25333333,4,0.24333334,3,0.083333336,0,0.053333335
115,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.169.txt,1,0.466378778,2,0.191856876,0,0.191856876,4,0.123997532,,
116,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.17.txt,3,0.324705869,0,0.225882351,2,0.185294122,4,0.13352941,1,0.130588233
117,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.170.txt,0,0.2965599,2,0.272835106,1,0.199288249,4,0.180308416,3,0.051008303
118,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.171.txt,0,0.60358566,4,0.164010629,1,0.140106246,3,0.063081011,,
119,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.172.txt,4,0.7592417,2,0.118483409,3,0.0521327,,,,
120,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.173.txt,2,0.467086822,0,0.319327742,4,0.14845939,,,,
121,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.174.txt,4,0.352861941,2,0.33468014,1,0.198653191,0,0.090909094,,
122,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.175.txt,0,0.831081092,1,0.080115832,,,,,,
123,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.176.txt,4,0.449194551,2,0.335192055,0,0.122676581,1,0.050185874,,
124,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.177.txt,4,0.396798164,2,0.307032585,1,0.18467696,0,0.079473987,,
125,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.178.txt,4,0.812093019,2,0.097674422,,,,,,
126,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.179.txt,3,0.683841944,2,0.145322666,0,0.109554775,,,,
127,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.18.txt,0,0.644426346,2,0.161106586,3,0.093572013,1,0.087062649,,
128,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.180.txt,0,0.326219499,2,0.281504065,4,0.214430898,3,0.152439028,,
129,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.181.txt,2,0.278219402,0,0.263910979,4,0.201907784,1,0.200317964,3,0.055643879
130,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.182.txt,2,0.441642642,0,0.300432265,4,0.172190204,1,0.057636887,,
131,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.183.txt,0,0.741649628,3,0.092024542,4,0.086571231,,,,
132,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.184.txt,4,0.658625722,2,0.201023385,0,0.051900584,,,,
133,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.185.txt,0,0.408141971,1,0.384133607,2,0.134655535,3,0.050104383,,
134,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.186.txt,0,0.557715654,1,0.215066835,3,0.114216283,2,0.081409477,,
135,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.187.txt,4,0.717920363,2,0.186946899,,,,,,
136,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.188.txt,3,0.74772346,0,0.204721749,,,,,,
137,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.189.txt,4,0.818139315,2,0.109396912,,,,,,
138,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.19.txt,4,0.664067566,2,0.159194276,0,0.066926576,1,0.063677713,,
139,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.190.txt,0,0.559098423,2,0.300164938,3,0.095107205,,,,
140,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.191.txt,3,0.823253632,0,0.083919361,,,,,,
141,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.192.txt,0,0.760055482,3,0.077669904,4,0.068885803,1,0.050392974,,
142,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.193.txt,4,0.682279885,2,0.189616248,,,,,,
143,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.194.txt,3,0.561061919,0,0.351032436,2,0.064896755,,,,
144,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.195.txt,4,0.764586151,2,0.116010852,1,0.066485755,,,,
145,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.196.txt,0,0.472452819,3,0.295094341,4,0.081509434,2,0.079999998,1,0.070943393
146,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.197.txt,3,0.596324861,0,0.275044471,2,0.072910495,,,,
147,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.198.txt,2,0.418829203,4,0.4133977,1,0.095353045,0,0.050694026,,
148,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.199.txt,3,0.892341852,0,0.050499447,,,,,,
149,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.2.txt,1,0.378079861,4,0.357689053,2,0.141886145,3,0.073916741,,
150,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.20.txt,3,0.817711711,4,0.077569492,1,0.053005818,,,,
151,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.200.txt,4,0.77599442,2,0.071877182,0,0.066294484,,,,
152,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.201.txt,0,0.725037277,1,0.088673621,4,0.086438149,2,0.056631893,,
153,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.202.txt,1,0.422222227,4,0.400000006,2,0.086868688,0,0.054545455,,
154,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.203.txt,4,0.585714281,1,0.144444451,2,0.131746039,0,0.095238097,,
155,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.204.txt,0,0.692966104,1,0.161890581,3,0.056940828,2,0.053963527,,
156,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.205.txt,0,0.467581987,1,0.41495043,2,0.051868804,,,,
157,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.206.txt,0,0.283673465,1,0.247959182,4,0.217346936,2,0.169387758,3,0.081632651
158,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.207.txt,0,0.707297504,3,0.095429033,2,0.086607859,1,0.059342422,4,0.051323175
159,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.208.txt,0,0.406225681,4,0.259922177,2,0.145525292,1,0.119844355,3,0.068482488
160,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.209.txt,0,0.692386806,1,0.133744851,4,0.079218104,2,0.058641974,,
161,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.21.txt,2,0.401838839,4,0.24445647,0,0.172525689,3,0.126014069,1,0.055164956
162,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.210.txt,1,0.502857149,2,0.189714283,4,0.137142852,0,0.102857143,3,0.067428574
163,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.211.txt,0,0.53035146,1,0.362619817,4,0.057507988,,,,
164,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.212.txt,3,0.649787009,0,0.297681034,,,,,,
165,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.213.txt,1,0.601080239,4,0.16975309,2,0.136574075,0,0.063271604,,
166,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.214.txt,2,0.328996271,4,0.314126402,0,0.234200746,3,0.087360598,,
167,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.215.txt,1,0.676991165,4,0.115929201,0,0.108849555,2,0.054867256,,
168,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.216.txt,0,0.640383601,3,0.270111889,,,,,,
169,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.217.txt,0,0.572815537,1,0.276257724,4,0.067078553,2,0.052074138,,
170,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.218.txt,1,0.542372882,4,0.201078579,2,0.116332822,0,0.09476117,,
171,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.219.txt,4,0.404066086,2,0.341169,0,0.169631511,,,,
172,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.22.txt,3,0.63152343,0,0.297838688,,,,,,
173,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.220.txt,0,0.565789461,3,0.264542937,1,0.069252081,2,0.052631579,,
174,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.221.txt,0,0.518351555,1,0.201545402,3,0.121699937,2,0.083708949,4,0.074694142
175,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.222.txt,0,0.482074738,1,0.194508016,3,0.134248659,4,0.107551485,2,0.081617087
176,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.223.txt,0,0.600985229,3,0.118226603,4,0.098522164,2,0.093596056,1,0.088669948
177,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.224.txt,4,0.53993398,1,0.249504954,2,0.149834991,,,,
178,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.225.txt,4,0.465637058,1,0.215444013,0,0.163706571,2,0.101930499,3,0.053281855
179,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.226.txt,4,0.891075194,,,,,,,,
180,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.227.txt,4,0.825496316,2,0.112330198,,,,,,
181,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.228.txt,4,0.79040736,2,0.114980288,,,,,,
182,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.229.txt,3,0.553212345,0,0.394801378,,,,,,
183,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.23.txt,4,0.71924454,2,0.162327722,1,0.054619703,,,,
184,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.230.txt,0,0.672059715,3,0.131922841,4,0.123833232,1,0.056004979,,
185,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.231.txt,0,0.560594797,1,0.338289976,4,0.055762082,,,,
186,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.232.txt,2,0.508313537,0,0.296120346,4,0.121931911,,,,
187,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.233.txt,0,0.711453736,3,0.099118941,2,0.082599118,4,0.071585901,,
188,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.234.txt,4,0.625382245,2,0.179918453,0,0.096839957,1,0.076452598,,
189,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.235.txt,1,0.646443486,0,0.129009768,2,0.094142258,3,0.069037654,4,0.061366808
