full_date,name,SpeechID,Financial.Markets,Macroeconomics,Monetary.Policy,International.Economy,Local.Housing.Dev,Banking.Regulation,,top,max,countzeros,randrange,intruder,206,SpeechID,full_date,name,,,,,
3-May-97,Alan Greenspan,38,0.160574406,0,0,0.132506534,0,0.5828982,,,0.5828982,3,1,,,38,3-May-97,Alan Greenspan,,,,,
8-May-97,Alan Greenspan,39,0.09039548,0.398305088,0.154425606,0.26647833,0,0,,,0.398305088,2,1,,,39,8-May-97,Alan Greenspan,,,,,
23-May-97,Laurence H. Meyer,40,0.10168539,0,0,0,0.463483155,0.273595512,,,0.463483155,3,2,,,40,23-May-97,Laurence H. Meyer,,,,,
10-Jun-97,Alan Greenspan,41,0.141638219,0,0,0.668941975,0,0.058020476,,,0.668941975,3,2,,,41,10-Jun-97,Alan Greenspan,,,,,
18-Jun-97,Laurence H. Meyer,42,0,0,0.074113853,0.125671327,0.600429654,0.094522022,,,0.600429654,2,1,,,42,18-Jun-97,Laurence H. Meyer,,,,,
18-Jun-97,Susan M. Phillips,43,0.122162886,0,0,0.116154872,0,0.661548734,,,0.661548734,3,2,,,43,18-Jun-97,Susan M. Phillips,,,,,
4-Sep-97,Laurence H. Meyer,44,0,0,0.098437503,0,0.684374988,0.078906253,,,0.684374988,3,1,,,44,4-Sep-97,Laurence H. Meyer,,,,,
5-Sep-97,Alan Greenspan,45,0,0.257549852,0.418233633,0.157264963,0,0,,,0.418233633,3,1,,,45,5-Sep-97,Alan Greenspan,,,,,
12-Sep-97,Alan Greenspan,46,0,0.145675272,0,0.693474948,0,0,,,0.693474948,4,1,,,46,12-Sep-97,Alan Greenspan,,,,,
12-Sep-97,Laurence H. Meyer,47,0.253174007,0.120985813,0.430171758,0.103061989,0,0,,,0.430171758,2,1,,,47,12-Sep-97,Laurence H. Meyer,,,,,
17-Sep-97,Laurence H. Meyer,48,0,0.589495182,0.28862825,0,0,0,,,0.589495182,4,2,,,48,17-Sep-97,Laurence H. Meyer,,,,,
19-Sep-97,Susan M. Phillips,49,0.145454541,0,0,0,0,0.680909097,,,0.680909097,4,4,,,49,19-Sep-97,Susan M. Phillips,,,,,
23-Sep-97,Edward W. Kelley,50,0,0,0,0.13627255,0.428857714,0.242484972,,,0.428857714,3,3,,,50,23-Sep-97,Edward W. Kelley,,,,,
5-Oct-97,Alan Greenspan,51,0.101357467,0.101357467,0,0.36470589,0,0.302262455,,,0.36470589,2,1,,,51,5-Oct-97,Alan Greenspan,,,,,
11-Oct-97,Alan Greenspan,52,0.113881402,0.071428575,0,0.1448787,0.603099704,0,,,0.603099704,2,1,,,52,11-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Alan Greenspan,53,0.289676428,0,0,0.381355941,0,0.137134045,,,0.381355941,3,2,,,53,14-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Alan Greenspan,54,0,0.127222985,0,0.733926117,0,0,,,0.733926117,4,1,,,54,14-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Laurence H. Meyer,55,0,0.384315431,0.287694961,0.163778156,0,0,,,0.384315431,3,3,,,55,14-Oct-97,Laurence H. Meyer,,,,,
15-Oct-97,Susan M. Phillips,56,0.486891389,0,0.092384517,0,0,0.278402001,,,0.486891389,3,3,,,56,15-Oct-97,Susan M. Phillips,,,,,
30-Oct-97,Susan M. Phillips,57,0.110457517,0,0,0.093464054,0,0.679084957,,,0.679084957,3,1,,,57,30-Oct-97,Susan M. Phillips,,,,,
31-Oct-97,Laurence H. Meyer,58,0.075393535,0,0,0.140016571,0.610604823,0.089478046,,,0.610604823,2,2,,,58,31-Oct-97,Laurence H. Meyer,,,,,
4-Nov-97,Susan M. Phillips,59,0.116932906,0,0,0,0,0.751437724,,,0.751437724,4,2,,,59,4-Nov-97,Susan M. Phillips,,,,,
7-Nov-97,Alan Greenspan,60,0,0,0.267775238,0.4375,0,0.132454127,,,0.4375,3,3,,,60,7-Nov-97,Alan Greenspan,,,,,
1-Dec-97,Laurence H. Meyer,61,0,0,0,0.085972853,0.678733051,0.102564104,,,0.678733051,3,3,,,61,1-Dec-97,Laurence H. Meyer,,,,,
2-Dec-97,Alan Greenspan,62,0.347804636,0.187962502,0,0.326591015,0,0,,,0.347804636,3,1,,,62,2-Dec-97,Alan Greenspan,,,,,
3-Dec-97,Alan Greenspan,63,0,0.131367296,0,0.723860562,0,0,,,0.723860562,4,3,,,63,3-Dec-97,Alan Greenspan,,,,,
15-Dec-97,Edward W. Kelley,64,0,0,0,0.217197925,0.192735359,0.402520388,,,0.402520388,3,3,,,64,15-Dec-97,Edward W. Kelley,,,,,
3-Jan-98,Alan Greenspan,65,0,0.174338326,0.291714609,0.365362495,0,0,,,0.365362495,3,3,,,65,3-Jan-98,Alan Greenspan,,,,,
8-Jan-98,Laurence H. Meyer,66,0,0.587869346,0,0,0,0,,,0.587869346,5,2,,,66,8-Jan-98,Laurence H. Meyer,,,,,
12-Jan-98,Alan Greenspan,67,0.094563983,0,0,0.091732733,0.562853932,0.169875428,,,0.562853932,2,1,,,67,12-Jan-98,Alan Greenspan,,,,,
16-Jan-98,Alan Greenspan,68,0,0.150458708,0,0.432110101,0.285321087,0,,,0.432110101,3,1,,,68,16-Jan-98,Alan Greenspan,,,,,
11-Feb-98,Edward W. Kelley,69,0,0,0,0.184034124,0.148080438,0.461304069,,,0.461304069,3,3,,,69,11-Feb-98,Edward W. Kelley,,,,,
17-Feb-98,Alice M. Rivlin,70,0,0,0.082474224,0.618556678,0.139819592,0,,,0.618556678,3,2,,,70,17-Feb-98,Alice M. Rivlin,,,,,
26-Feb-98,Alan Greenspan,71,0.137046307,0,0,0.084480599,0,0.689612031,,,0.689612031,3,1,,,71,26-Feb-98,Alan Greenspan,,,,,
27-Feb-98,Alan Greenspan,72,0.38839978,0.174520969,0,0.222164676,0,0,,,0.38839978,3,1,,,72,27-Feb-98,Alan Greenspan,,,,,
27-Feb-98,Edward M. Gramlich,73,0,0,0.810581982,0.071428575,0,0,,,0.810581982,4,4,,,73,27-Feb-98,Edward M. Gramlich,,,,,
2-Mar-98,Laurence H. Meyer,74,0.18291761,0,0,0,0,0.616024196,,,0.616024196,4,1,,,74,2-Mar-98,Laurence H. Meyer,,,,,
3-Mar-98,Alan Greenspan,75,0.404964089,0.12344873,0,0.252775967,0,0.130633578,,,0.404964089,2,2,,,75,3-Mar-98,Alan Greenspan,,,,,
4-Mar-98,Roger W. Ferguson,76,0.291749179,0.234983504,0,0,0,0.204620466,,,0.291749179,3,3,,,76,4-Mar-98,Roger W. Ferguson,,,,,
6-Mar-98,Edward M. Gramlich,77,0,0.393939406,0,0.222222224,0.101010099,0.169191912,,,0.393939406,2,1,,,77,6-Mar-98,Edward M. Gramlich,,,,,
9-Mar-98,Roger W. Ferguson,78,0.077939235,0,0,0.103698812,0,0.708058119,,,0.708058119,3,3,,,78,9-Mar-98,Roger W. Ferguson,,,,,
16-Mar-98,Laurence H. Meyer,79,0,0,0.799390912,0,0,0,,,0.799390912,5,4,,,79,16-Mar-98,Laurence H. Meyer,,,,,
17-Mar-98,Susan M. Phillips,80,0.174783185,0,0,0.087391593,0,0.637091398,,,0.637091398,3,2,,,80,17-Mar-98,Susan M. Phillips,,,,,
19-Mar-98,Alice M. Rivlin,81,0.077605322,0.075388029,0.108647451,0.40798226,0.254988909,0,,,0.40798226,1,1,,,81,19-Mar-98,Alice M. Rivlin,,,,,
19-Mar-98,Roger W. Ferguson,82,0,0,0,0.135578588,0.198618308,0.490500867,,Banking.Regulation,0.490500867,3,2,macroeconomics,,82,19-Mar-98,Roger W. Ferguson,,,,,
26-Mar-98,Susan M. Phillips,83,0.301771104,0,0,0,0,0.494550407,,,0.494550407,4,1,,,83,26-Mar-98,Susan M. Phillips,,,,,
2-Apr-98,Alan Greenspan,84,0.141582385,0.096966095,0,0.640690088,0,0,,,0.640690088,3,1,,,84,2-Apr-98,Alan Greenspan,,,,,
2-Apr-98,Laurence H. Meyer,85,0.065496095,0,0.684225202,0.056577481,0.056577481,0.083054624,,,0.684225202,1,1,,,85,2-Apr-98,Laurence H. Meyer,,,,,
4-Apr-98,Roger W. Ferguson,86,0,0,0,0.167432696,0.378857523,0.250164151,,,0.378857523,3,3,,,86,4-Apr-98,Roger W. Ferguson,,,,,
9-Apr-98,Laurence H. Meyer,87,0,0.614847183,0.258515298,0,0,0,,,0.614847183,4,3,,,87,9-Apr-98,Laurence H. Meyer,,,,,
16-Apr-98,Laurence H. Meyer,88,0.185861275,0,0,0.124128774,0,0.562894106,,,0.562894106,3,1,,,88,16-Apr-98,Laurence H. Meyer,,,,,
16-Apr-98,Roger W. Ferguson,89,0.331349194,0.076719575,0,0.16534391,0.06679894,0.298280418,,,0.331349194,1,1,,,89,16-Apr-98,Roger W. Ferguson,,,,,
23-Apr-98,Alice M. Rivlin,90,0.399085194,0.065180101,0,0.268724978,0,0.178387657,,,0.399085194,2,1,,,90,23-Apr-98,Alice M. Rivlin,,,,,
30-Apr-98,Laurence H. Meyer,91,0,0.181573644,0.105581708,0,0.591123044,0,,,0.591123044,3,3,,,91,30-Apr-98,Laurence H. Meyer,,,,,
2-May-98,Alan Greenspan,92,0.287614286,0,0,0,0,0.36575228,,,0.36575228,4,1,,,92,2-May-98,Alan Greenspan,,,,,
7-May-98,Alice M. Rivlin,93,0.127317682,0,0,0.29789865,0.379480839,0.107540175,,,0.379480839,2,1,,,93,7-May-98,Alice M. Rivlin,,,,,
7-May-98,Alan Greenspan,94,0.501941204,0,0,0.128674433,0,0.260122031,,,0.501941204,3,1,,,94,7-May-98,Alan Greenspan,,,,,
12-May-98,Alice M. Rivlin,95,0,0.074971162,0,0.61014992,0.167243361,0,,intecon,0.61014992,3,2,Monetary.Policy,,95,12-May-98,Alice M. Rivlin,,,,,
12-May-98,Laurence H. Meyer,96,0,0,0,0.132398754,0.548286617,0.211059183,,,0.548286617,3,1,,,96,12-May-98,Laurence H. Meyer,,,,,
20-May-98,Alan Greenspan,97,0.514285743,0,0,0.142857149,0.100000001,0.121428572,,,0.514285743,2,1,,,97,20-May-98,Alan Greenspan,,,,,
3-Jun-98,Laurence H. Meyer,98,0,0.319999993,0.531851828,0,0,0,,,0.531851828,4,3,,,98,3-Jun-98,Laurence H. Meyer,,,,,
9-Jun-98,Laurence H. Meyer,99,0.17431666,0,0,0.104693137,0,0.605466723,,,0.605466723,3,3,,,99,9-Jun-98,Laurence H. Meyer,,,,,
18-Jun-98,Alice M. Rivlin,100,0.11146497,0.297239929,0.096602969,0.382165611,0,0,,,0.382165611,2,1,,,100,18-Jun-98,Alice M. Rivlin,,,,,
9-Jul-98,Roger W. Ferguson,101,0,0.378926694,0.439136118,0.085078537,0,0,,,0.439136118,3,3,,,101,9-Jul-98,Roger W. Ferguson,,,,,
10-Jul-98,Alan Greenspan,102,0.120805368,0.102348991,0,0.337248325,0,0.33640939,,,0.337248325,2,2,,,102,10-Jul-98,Alan Greenspan,,,,,
20-Jul-98,Roger W. Ferguson,103,0.25,0,0,0.12945205,0,0.52191782,,,0.52191782,3,2,,,103,20-Jul-98,Roger W. Ferguson,,,,,
28-Aug-98,Alan Greenspan,104,0,0,0,0,0,0,,,0,6,4,,,104,28-Aug-98,Alan Greenspan,,,,,
4-Sep-98,Alan Greenspan,105,0.097870409,0.355686456,0,0.425464422,0,0,,,0.425464422,3,2,,,105,4-Sep-98,Alan Greenspan,,,,,
15-Sep-98,Edward M. Gramlich,106,0.329910129,0.114249036,0.057766367,0.360718876,0,0.083440311,,,0.360718876,1,1,,,106,15-Sep-98,Edward M. Gramlich,,,,,
17-Sep-98,Roger W. Ferguson,107,0,0.587525129,0.111334674,0.185110658,0,0,,,0.587525129,3,1,,,107,17-Sep-98,Roger W. Ferguson,,,,,
18-Sep-98,Laurence H. Meyer,108,0.19666329,0,0,0,0,0.673407495,,,0.673407495,4,4,,,108,18-Sep-98,Laurence H. Meyer,,,,,
28-Sep-98,Alice M. Rivlin,109,0.07535322,0,0.06279435,0.334379911,0.365777075,0.10204082,,,0.365777075,1,1,,,109,28-Sep-98,Alice M. Rivlin,,,,,
29-Sep-98,Roger W. Ferguson,110,0.085557297,0,0,0.178178966,0.39952904,0.22605966,,,0.39952904,2,2,,,110,29-Sep-98,Roger W. Ferguson,,,,,
