,DateField,Date,speech_name,raw_spoke_to,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
22,1/1/1997,1/16/1997,The economic outlook and challenges for monetary policy,"At the Charlotte Economics Club, Charlotte, North Carolina",Charlotte Economics Club,NA, Charlotte, North Carolina,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
23,1/1/1997,1/24/1997,Financial modernization: Rationalizing the structure of the financial services industry,"At the 99th Assembly for Bank Directors, Southwestern Graduate School of Banking, Westin Regina Resort, Puerto Vallarta, Mexico",99th Assembly for Bank Directors,NA, Southwestern Graduate School of Banking, Westin Regina Resort,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
24,1/1/1997,1/28/1997,International competition: Should we harmonize our national regulatory systems?,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,NA,Sponsored,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1/1/1997,1/29/1997,Are banks still special?,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets, Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,NA, Sponsored,,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2/1/1997,2/14/1997,Risk management for banks and banking regulators in the 21st century,"At the Atlanta Society of Financial Analysis, Atlanta, Georgia",Atlanta Society of Financial Analysis,NA, Atlanta, Georgia,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2/1/1997,2/21/1997,Government regulation and derivative contracts,"At the Financial Markets Conference of the Federal Reserve Bank of Atlanta, Coral Gables, Florida",Financial Markets Conference of the Federal Reserve Bank of Atlanta,NA, Coral Gables, Florida,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,3/1/1997,3/3/1997,Recent developments in supervision and regulation and how they affect the debate on financial modernization,At the Annual Washington Conference of the Institute of International Bankers,Annual Washington Conference of the Institute of International Bankers,NA,,,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,3/1/1997,3/7/1997,Privacy in the information age,"At the Conference on Privacy in the Information Age, Salt Lake City, Utah",Conference on Privacy in the Information Age,NA, Salt Lake City, Utah,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
30,3/1/1997,3/13/1997,Sustaining CRA's success,"At the Annual Meeting of the National Community Reinvestment Coalition, Washington, D.C.",Annual Meeting of the National Community Reinvestment Coalition,NA, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
31,3/1/1997,3/22/1997,Financial reform and the importance of a decentralized banking structure,"At the Annual Convention of the Independent Bankers Association of America, Phoenix, Arizona",Annual Convention of the Independent Bankers Association of America,NA, Phoenix, Arizona,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
